iter	Logloss
0	0.6903139705
1	0.6883081194
2	0.6862282836
3	0.6840432603
4	0.682517363
5	0.6807212291
6	0.6783041917
7	0.676444337
8	0.674119451
9	0.6719849987
10	0.6699067509
11	0.6680111913
12	0.666410442
13	0.6647884461
14	0.6626619017
15	0.6609892935
16	0.6589906942
17	0.6575056671
18	0.655965368
19	0.6541007449
20	0.6521466826
21	0.6504810312
22	0.6485302143
23	0.6466283244
24	0.6443281359
25	0.6429042217
26	0.6403964255
27	0.6381409778
28	0.6361122515
29	0.6340546822
30	0.6323467126
31	0.6306285127
32	0.6288014561
33	0.6268973285
34	0.6248366896
35	0.622860934
36	0.6210443033
37	0.619067355
38	0.6172839436
39	0.6155544646
40	0.6132757249
41	0.6118354305
42	0.6101181785
43	0.6081938364
44	0.6067536514
45	0.6052901122
46	0.6034471832
47	0.6010315577
48	0.599579993
49	0.5976916211
50	0.5956065981
51	0.5942509029
52	0.5929095941
53	0.5908385364
54	0.5890542567
55	0.5873316955
56	0.5846584449
57	0.5835512613
58	0.5819424468
59	0.5796308432
60	0.5776882274
61	0.5765584434
62	0.5754828571
63	0.5737793972
64	0.5725522135
65	0.570947899
66	0.5693777702
67	0.5679493004
68	0.5660303872
69	0.564765813
70	0.5630923614
71	0.5613629165
72	0.5601879803
73	0.5588597018
74	0.5574215181
75	0.5550862988
76	0.5534263331
77	0.5519507748
78	0.550645171
79	0.5491419398
80	0.5474647169
81	0.545013006
82	0.5437210023
83	0.5422859335
84	0.5407312684
85	0.5393032889
86	0.5378582355
87	0.5361779218
88	0.5347136524
89	0.5326652845
90	0.53148162
91	0.529778454
92	0.5283637377
93	0.5267840105
94	0.5252366466
95	0.5239355266
96	0.5230103168
97	0.5216388225
98	0.520407235
99	0.5191188994
100	0.517838674
101	0.5163680817
102	0.5142897327
103	0.5130036828
104	0.511346897
105	0.5095579355
106	0.5084774915
107	0.5072149985
108	0.5057006029
109	0.5042027309
110	0.5027551182
111	0.5011429938
112	0.4997581795
113	0.4982784815
114	0.4969616189
115	0.4954527968
116	0.4941551269
117	0.4926755849
118	0.4910790402
119	0.489626626
120	0.4885222646
121	0.4866443142
122	0.4855381993
123	0.4839695002
124	0.4819909073
125	0.4809480354
126	0.4795813985
127	0.4785209172
128	0.4774753455
129	0.4759500063
130	0.4747590488
131	0.4735485699
132	0.4714464496
133	0.4704032744
134	0.4692669045
135	0.4677333873
136	0.4667047973
137	0.4656162711
138	0.4641017914
139	0.462962447
140	0.4615515005
141	0.4608558555
142	0.4601049758
143	0.4590868019
144	0.4579281521
145	0.4568622308
146	0.4559222582
147	0.4547200546
148	0.453400816
149	0.4522433967
150	0.4509774144
151	0.4498502383
152	0.4479569834
153	0.4470157444
154	0.4457184787
155	0.4446424817
156	0.4438709053
157	0.4425433646
158	0.4412852852
159	0.4399737642
160	0.4391851646
161	0.4380114299
162	0.4362240785
163	0.4353535927
164	0.4344352941
165	0.4332556071
166	0.4319619242
167	0.4307808566
168	0.4297633832
169	0.4287458683
170	0.4273855196
171	0.4263043036
172	0.4253155377
173	0.4242816233
174	0.4230195349
175	0.4219000421
176	0.4210837818
177	0.4202294105
178	0.4185817772
179	0.4173790968
180	0.4167849838
181	0.4157048668
182	0.4147379006
183	0.4135792043
184	0.4126335072
185	0.4114445113
186	0.410704238
187	0.4094353253
188	0.4084371557
189	0.4073403004
190	0.4058659934
191	0.4049372175
192	0.4041386214
193	0.4032020054
194	0.4020518179
195	0.401132604
196	0.4002347417
197	0.3993868044
198	0.3984066183
199	0.3969365203
200	0.3958364317
201	0.3948970968
202	0.3938925536
203	0.3929289457
204	0.3921117309
205	0.3912640043
206	0.390482736
207	0.3893746007
208	0.3885979465
209	0.3880326683
210	0.3871378997
211	0.3859543596
212	0.3852400159
213	0.3842331416
214	0.3828994428
215	0.3815808811
216	0.3798162668
217	0.3783036699
218	0.3775105672
219	0.3765653903
220	0.3753759902
221	0.3744512404
